epoch,time(s),train_loss,test_loss,test_error(%)
001,00052,2.035617,0.00192,76.20
002,00047,1.994755,0.00193,77.18
003,00048,1.888091,0.00178,73.54
004,00048,1.840153,0.00187,73.50
005,00047,1.780595,0.00160,62.03
006,00048,1.683063,0.00154,57.99
007,00047,1.702804,0.00149,56.89
008,00047,1.646446,0.00147,55.84
009,00047,1.583033,0.00138,51.97
010,00047,1.523398,0.00140,50.27
011,00048,1.486839,0.00133,48.05
012,00047,1.462477,0.00128,46.49
013,00047,1.486152,0.00131,48.05
014,00047,1.416594,0.00137,46.89
015,00047,1.411292,0.00122,42.42
016,00047,1.409346,0.00118,41.08
017,00047,1.344494,0.00120,42.29
018,00048,1.404769,0.00117,40.19
019,00048,1.352832,0.00115,38.15
020,00048,1.353449,0.00114,36.44
021,00048,1.342914,0.00115,37.03
022,00047,1.287900,0.00116,38.03
023,00048,1.291988,0.00104,35.00
024,00048,1.282721,0.00102,33.82
025,00047,1.240654,0.00106,36.02
026,00047,1.260769,0.00105,34.83
027,00047,1.253543,0.00098,31.13
028,00047,1.255370,0.00105,32.41
029,00048,1.205434,0.00101,31.78
030,00047,1.181503,0.00100,31.83
031,00047,1.194656,0.00105,32.43
032,00047,1.196995,0.00096,30.56
033,00047,1.144591,0.00094,30.75
034,00047,1.135218,0.00095,29.31
035,00047,1.139138,0.00093,29.17
036,00047,1.198613,0.00101,34.52
037,00048,1.108589,0.00095,28.20
038,00047,1.142129,0.00091,27.47
039,00047,1.116495,0.00085,26.13
040,00047,1.075899,0.00088,27.19
041,00048,1.132315,0.00084,26.03
042,00047,1.041295,0.00090,28.27
043,00048,1.096618,0.00084,25.12
044,00047,1.071355,0.00087,25.92
045,00048,1.010449,0.00091,26.66
046,00047,1.041741,0.00081,23.58
047,00048,1.052278,0.00087,24.71
048,00047,1.068306,0.00081,26.09
049,00047,0.975771,0.00080,25.03
050,00048,0.968208,0.00080,24.31
051,00047,1.064069,0.00083,25.36
052,00048,1.007066,0.00081,24.74
053,00048,0.949399,0.00076,24.61
054,00047,0.994993,0.00076,22.23
055,00048,0.952566,0.00077,23.51
056,00047,0.919410,0.00073,21.43
057,00047,0.932979,0.00072,22.00
058,00047,0.944307,0.00071,22.02
059,00047,0.905104,0.00069,20.73
060,00047,0.925322,0.00073,21.93
061,00047,0.896937,0.00072,22.47
062,00047,0.875705,0.00070,21.83
063,00047,0.847418,0.00069,20.98
064,00047,0.885246,0.00071,21.90
065,00048,0.890567,0.00068,20.25
066,00047,0.892008,0.00067,20.30
067,00047,0.859501,0.00067,20.60
068,00047,0.870747,0.00067,20.56
069,00047,0.863796,0.00067,20.49
070,00048,0.826748,0.00065,19.75
071,00048,0.834513,0.00064,19.60
072,00047,0.804380,0.00064,20.07
073,00047,0.847152,0.00064,19.20
074,00047,0.835659,0.00065,19.39
075,00047,0.809567,0.00062,18.47
076,00047,0.809279,0.00062,18.87
077,00047,0.788644,0.00061,18.87
078,00047,0.795000,0.00062,18.80
079,00047,0.794811,0.00062,18.66
080,00047,0.795528,0.00060,18.39
081,00047,0.763224,0.00060,18.54
082,00047,0.744559,0.00061,18.19
083,00047,0.732478,0.00060,18.49
084,00048,0.772512,0.00059,18.15
085,00047,0.772277,0.00060,18.35
086,00047,0.730627,0.00058,18.11
087,00047,0.741072,0.00058,17.91
088,00047,0.726081,0.00059,17.82
089,00047,0.741123,0.00058,18.05
090,00048,0.697489,0.00058,17.75
091,00047,0.754905,0.00058,17.61
092,00047,0.723681,0.00058,17.97
093,00047,0.695560,0.00058,17.94
094,00048,0.742147,0.00057,17.56
095,00047,0.711627,0.00057,17.69
096,00047,0.723190,0.00057,17.75
097,00048,0.725863,0.00058,17.72
098,00047,0.705432,0.00057,17.64
099,00047,0.737695,0.00057,17.64
100,00047,0.677658,0.00057,17.76
101,00000,0.000000,0.00000,24.01
