epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,2.334219,0.00236,90.00
002,00048,2.315452,0.00231,90.00
003,00048,2.329201,0.00232,90.00
004,00048,2.341623,0.00233,90.00
005,00048,2.374055,0.00233,90.00
006,00048,2.381288,0.00240,90.00
007,00048,2.418660,0.00254,90.00
008,00048,2.498873,0.00245,90.00
009,00048,2.458894,0.00240,90.00
010,00048,2.359602,0.00236,90.00
011,00048,2.348401,0.00238,90.00
012,00048,2.344422,0.00235,90.00
013,00048,2.315044,0.00231,90.00
014,00048,2.315868,0.00232,90.00
015,00048,2.313528,0.00231,90.00
016,00049,2.312583,0.00231,90.00
017,00048,2.306602,0.00231,90.00
018,00048,2.313089,0.00231,90.00
019,00049,2.313014,0.00231,90.00
020,00048,2.312766,0.00231,90.00
021,00048,2.322411,0.00231,90.00
022,00048,2.358449,0.00233,90.00
023,00048,2.335255,0.00232,90.00
024,00048,2.340649,0.00233,90.00
025,00048,2.398865,0.00234,90.00
026,00049,2.357197,0.00238,90.00
027,00048,2.474560,0.00242,90.00
028,00048,2.341531,0.00233,90.00
029,00048,2.489191,0.00242,90.00
030,00048,2.461905,0.00258,90.00
031,00048,2.421687,0.00239,90.00
032,00048,2.372157,0.00234,90.00
033,00048,2.348093,0.00234,90.00
034,00048,2.324939,0.00233,90.00
035,00048,2.313518,0.00231,90.00
036,00048,2.331284,0.00235,90.00
037,00048,2.313965,0.00232,90.00
038,00048,2.307200,0.00231,90.00
039,00048,2.308139,0.00231,90.00
040,00048,2.307711,0.00231,90.00
041,00048,2.308742,0.00230,90.00
042,00048,2.309530,0.00232,90.00
043,00048,2.317187,0.00231,90.00
044,00048,2.318386,0.00231,90.00
045,00048,2.323229,0.00232,90.00
046,00048,2.318201,0.00231,90.00
047,00048,2.323141,0.00232,90.00
048,00048,2.341812,0.00237,90.00
049,00048,2.330517,0.00232,90.00
050,00048,2.337932,0.00235,90.00
051,00048,2.357641,0.00235,90.00
052,00048,2.379667,0.00232,90.00
053,00048,2.325527,0.00232,90.00
054,00048,2.344988,0.00238,90.00
055,00048,2.329004,0.00231,90.00
056,00048,2.332108,0.00233,90.00
057,00048,2.309536,0.00231,90.00
058,00048,2.326401,0.00233,90.00
059,00048,2.327655,0.00232,90.00
060,00048,2.326172,0.00232,90.00
061,00048,2.325161,0.00231,90.00
062,00048,2.312770,0.00234,90.00
063,00048,2.315212,0.00231,90.00
064,00048,2.328647,0.00239,90.00
065,00048,2.311916,0.00231,90.00
066,00048,2.311458,0.00231,90.00
067,00048,2.313724,0.00231,90.00
068,00048,2.322419,0.00231,90.00
069,00048,2.312422,0.00231,90.00
070,00048,2.311432,0.00231,90.00
071,00048,2.316394,0.00230,90.00
072,00048,2.313104,0.00231,90.00
073,00048,2.309292,0.00231,90.00
074,00048,2.311556,0.00231,90.00
075,00048,2.308431,0.00230,90.00
076,00048,2.304412,0.00231,90.00
077,00048,2.311253,0.00231,90.00
078,00048,2.308830,0.00232,90.00
079,00048,2.306489,0.00230,90.00
080,00048,2.310540,0.00231,90.00
081,00048,2.309845,0.00231,90.00
082,00048,2.304778,0.00231,90.00
083,00048,2.304530,0.00231,90.00
084,00048,2.308327,0.00231,90.00
085,00048,2.305733,0.00231,90.00
086,00048,2.306170,0.00230,90.00
087,00048,2.302317,0.00231,90.00
088,00048,2.303331,0.00231,90.00
089,00048,2.303143,0.00230,90.00
090,00048,2.302549,0.00230,90.00
091,00048,2.302957,0.00230,90.00
092,00048,2.302546,0.00230,90.00
093,00048,2.302466,0.00230,90.00
094,00048,2.302839,0.00230,90.00
095,00048,2.302761,0.00230,90.00
096,00048,2.302661,0.00230,90.00
097,00048,2.302722,0.00230,90.00
098,00048,2.302638,0.00230,90.00
099,00048,2.302624,0.00230,90.00
100,00048,2.302594,0.00230,90.00
101,00000,0.000000,0.00000,90.00
