epoch,time(s),train_loss,test_loss,test_error(%)
001,00070,2.308089,0.00231,90.00
002,00048,2.310592,0.00231,90.00
003,00048,2.138900,0.00208,76.14
004,00048,1.933653,0.00178,63.83
005,00048,1.800224,0.00159,58.58
006,00048,1.766028,0.00155,56.29
007,00048,1.707717,0.00149,53.37
008,00049,1.679301,0.00147,51.96
009,00048,1.631063,0.00142,50.60
010,00048,1.650778,0.00139,48.69
011,00048,1.592825,0.00140,49.96
012,00048,1.603473,0.00136,48.39
013,00048,1.631839,0.00139,48.33
014,00048,1.637921,0.00138,48.70
015,00048,1.586533,0.00134,46.91
016,00048,1.566735,0.00134,47.28
017,00048,1.581839,0.00137,49.95
018,00048,1.563538,0.00133,47.46
019,00048,1.560684,0.00133,46.77
020,00048,1.574240,0.00136,48.18
021,00048,1.531281,0.00134,47.65
022,00048,1.548126,0.00129,44.81
023,00048,1.545567,0.00132,45.05
024,00048,1.511303,0.00127,43.95
025,00048,1.544422,0.00128,45.03
026,00048,1.544096,0.00126,43.94
027,00048,1.500559,0.00124,43.20
028,00048,1.497730,0.00123,43.25
029,00048,1.507186,0.00127,45.09
030,00048,1.489254,0.00126,44.41
031,00048,1.486566,0.00125,43.89
032,00048,1.461818,0.00124,43.77
033,00048,1.476522,0.00121,42.62
034,00048,1.454638,0.00121,41.81
035,00048,1.465582,0.00121,42.42
036,00048,1.453845,0.00120,42.04
037,00048,1.464849,0.00121,42.15
038,00048,1.453115,0.00121,43.22
039,00048,1.449900,0.00123,42.93
040,00048,1.417367,0.00117,41.42
041,00048,1.443563,0.00119,41.28
042,00048,1.427984,0.00116,40.64
043,00048,1.412076,0.00117,40.87
044,00048,1.407359,0.00115,40.05
045,00048,1.376186,0.00117,41.10
046,00048,1.402369,0.00117,40.68
047,00048,1.387813,0.00117,41.05
048,00048,1.408418,0.00114,39.16
049,00048,1.362093,0.00115,40.83
050,00048,1.409630,0.00113,38.83
051,00048,1.394318,0.00113,39.09
052,00048,1.418074,0.00111,37.83
053,00048,1.393945,0.00112,38.94
054,00048,1.385429,0.00110,37.05
055,00048,1.408732,0.00110,38.55
056,00048,1.377110,0.00114,39.09
057,00048,1.356187,0.00110,37.82
058,00048,1.368590,0.00110,38.23
059,00048,1.351234,0.00108,37.00
060,00048,1.360254,0.00111,37.93
061,00048,1.358901,0.00112,38.79
062,00048,1.325781,0.00107,36.20
063,00048,1.325230,0.00107,37.12
064,00048,1.372942,0.00112,38.50
065,00048,1.376960,0.00110,37.37
066,00048,1.297933,0.00106,37.55
067,00048,1.295315,0.00105,36.68
068,00048,1.300730,0.00103,35.23
069,00048,1.294179,0.00103,35.11
070,00048,1.324318,0.00104,35.99
071,00048,1.280088,0.00099,34.18
072,00048,1.277985,0.00102,35.64
073,00048,1.251118,0.00101,34.12
074,00048,1.251171,0.00099,33.73
075,00048,1.295436,0.00101,34.02
076,00048,1.259330,0.00099,34.11
077,00048,1.275064,0.00099,34.45
078,00048,1.228115,0.00098,33.63
079,00048,1.215350,0.00097,33.98
080,00048,1.236728,0.00096,33.31
081,00048,1.252838,0.00098,33.52
082,00048,1.220935,0.00095,32.76
083,00048,1.229038,0.00095,32.58
084,00048,1.228027,0.00095,32.64
085,00048,1.220409,0.00095,32.86
086,00048,1.202705,0.00094,31.91
087,00048,1.194368,0.00092,31.51
088,00048,1.213315,0.00094,32.52
089,00048,1.180985,0.00092,31.92
090,00048,1.196720,0.00093,31.97
091,00048,1.144633,0.00092,31.94
092,00048,1.166388,0.00092,31.82
093,00048,1.168926,0.00092,31.53
094,00048,1.166522,0.00091,31.37
095,00048,1.123809,0.00090,31.16
096,00048,1.150598,0.00090,30.98
097,00048,1.146087,0.00091,31.04
098,00048,1.171562,0.00090,31.03
099,00048,1.153372,0.00090,30.98
100,00048,1.160750,0.00090,31.02
101,00000,0.000000,0.00000,35.90
