epoch,time(s),train_loss,test_loss,test_error(%)
001,00039,1.791175,0.00162,58.77
002,00036,1.613992,0.00144,51.81
003,00037,1.440720,0.00121,43.31
004,00036,1.357762,0.00112,37.68
005,00037,1.293706,0.00103,35.35
006,00037,1.192545,0.00096,33.25
007,00037,1.183344,0.00096,31.88
008,00037,1.154776,0.00089,30.44
009,00037,1.095757,0.00086,28.47
010,00036,1.083550,0.00087,29.03
011,00036,1.064080,0.00088,29.44
012,00037,1.041368,0.00078,25.93
013,00036,1.045317,0.00085,28.24
014,00036,1.003444,0.00084,28.65
015,00036,0.981489,0.00080,26.84
016,00037,0.961473,0.00076,25.63
017,00036,0.970827,0.00081,26.95
018,00036,1.022365,0.00076,25.43
019,00036,0.959931,0.00077,25.14
020,00036,0.950390,0.00073,24.40
021,00036,0.963275,0.00078,25.81
022,00037,0.947851,0.00084,27.92
023,00036,0.948100,0.00069,23.10
024,00036,0.943273,0.00076,25.14
025,00036,0.918503,0.00075,25.85
026,00036,0.918915,0.00069,21.95
027,00036,0.933228,0.00078,26.15
028,00036,0.943607,0.00068,22.71
029,00036,0.935855,0.00071,23.31
030,00036,0.895680,0.00067,21.76
031,00037,0.907705,0.00077,26.09
032,00037,0.918151,0.00065,21.11
033,00037,0.876532,0.00067,22.45
034,00036,0.888974,0.00069,23.18
035,00036,0.877423,0.00066,21.36
036,00036,0.873948,0.00072,24.48
037,00036,0.850775,0.00066,21.75
038,00036,0.893046,0.00065,21.53
039,00036,0.871548,0.00069,23.97
040,00036,0.837292,0.00066,21.75
041,00036,0.862405,0.00067,22.35
042,00036,0.827587,0.00070,23.03
043,00036,0.840000,0.00067,22.40
044,00036,0.794035,0.00063,21.20
045,00036,0.821511,0.00065,21.49
046,00037,0.793414,0.00062,20.61
047,00036,0.816004,0.00065,21.23
048,00036,0.865238,0.00063,20.44
049,00037,0.776864,0.00059,19.73
050,00036,0.798070,0.00062,20.83
051,00036,0.811271,0.00064,21.07
052,00036,0.778112,0.00060,20.07
053,00037,0.780154,0.00059,19.63
054,00036,0.776513,0.00059,19.25
055,00036,0.765109,0.00057,19.02
056,00037,0.762820,0.00054,17.69
057,00037,0.734852,0.00058,18.74
058,00037,0.746575,0.00055,18.01
059,00037,0.705048,0.00056,18.42
060,00036,0.692462,0.00053,17.62
061,00037,0.721869,0.00054,17.99
062,00037,0.710961,0.00053,17.42
063,00036,0.665748,0.00050,16.06
064,00036,0.695706,0.00050,16.70
065,00036,0.705392,0.00051,17.05
066,00036,0.709489,0.00048,15.71
067,00036,0.681089,0.00049,16.24
068,00036,0.684042,0.00048,15.80
069,00036,0.664017,0.00049,16.20
070,00037,0.614481,0.00045,14.91
071,00036,0.625195,0.00048,15.68
072,00036,0.615710,0.00046,15.16
073,00036,0.612363,0.00045,14.71
074,00036,0.616033,0.00047,15.68
075,00036,0.585573,0.00043,14.14
076,00037,0.594832,0.00043,14.21
077,00037,0.588945,0.00042,13.98
078,00037,0.554945,0.00040,13.31
079,00037,0.537771,0.00042,13.81
080,00036,0.551375,0.00041,13.69
081,00037,0.506888,0.00041,13.67
082,00036,0.525588,0.00039,12.59
083,00036,0.479562,0.00039,13.06
084,00036,0.504525,0.00038,12.86
085,00036,0.497863,0.00037,12.59
086,00037,0.484119,0.00037,12.08
087,00036,0.455215,0.00037,12.21
088,00037,0.458052,0.00036,11.77
089,00037,0.458646,0.00036,12.01
090,00037,0.432803,0.00035,11.62
091,00036,0.444457,0.00035,11.72
092,00037,0.388598,0.00034,11.39
093,00037,0.393384,0.00034,11.35
094,00036,0.374517,0.00034,11.43
095,00036,0.415211,0.00033,11.27
096,00036,0.374618,0.00033,11.20
097,00037,0.377585,0.00033,11.11
098,00037,0.376029,0.00033,11.21
099,00036,0.380090,0.00033,11.17
100,00036,0.357594,0.00033,11.22
