epoch,time(s),train_loss,test_loss,test_error(%)
029,00035,0.528355,0.00051,17.14
016,00034,0.598795,0.00050,16.75
001,00036,1.292844,0.00114,40.67
030,00035,0.551399,0.00040,13.65
017,00034,0.591678,0.00050,16.79
002,00034,1.039644,0.00111,39.42
031,00035,0.502626,0.00042,14.31
018,00034,0.621328,0.00045,14.98
003,00034,0.884669,0.00079,27.37
004,00034,0.823024,0.00079,27.34
005,00034,0.798819,0.00079,26.58
006,00034,0.767850,0.00065,22.20
007,00034,0.734722,0.00059,20.51
008,00034,0.692774,0.00060,20.36
009,00034,0.656951,0.00059,19.82
010,00034,0.697702,0.00057,19.23
011,00034,0.666502,0.00051,16.77
012,00034,0.659353,0.00051,17.15
013,00034,0.653199,0.00063,21.49
014,00034,0.631245,0.00061,21.52
015,00034,0.602207,0.00054,18.73
016,00034,0.594232,0.00050,16.70
017,00034,0.591870,0.00049,16.59
018,00034,0.604640,0.00050,17.20
019,00034,0.620926,0.00059,20.21
020,00034,0.557223,0.00050,17.11
021,00034,0.604094,0.00043,14.78
022,00034,0.607422,0.00044,14.86
023,00034,0.567811,0.00047,15.84
024,00034,0.567156,0.00056,18.69
025,00034,0.572555,0.00050,17.02
026,00034,0.579844,0.00039,13.43
027,00034,0.548202,0.00041,13.64
028,00034,0.570708,0.00044,15.07
029,00034,0.547041,0.00042,14.52
030,00034,0.536360,0.00051,17.19
031,00034,0.531205,0.00043,14.37
032,00034,0.564168,0.00046,15.54
033,00034,0.495669,0.00038,12.67
034,00034,0.558932,0.00042,13.95
035,00034,0.548309,0.00047,16.07
036,00034,0.536470,0.00044,14.67
037,00034,0.513577,0.00040,13.49
038,00034,0.529164,0.00038,12.73
039,00034,0.517214,0.00036,12.13
040,00034,0.492905,0.00044,14.50
041,00034,0.495775,0.00036,12.12
042,00034,0.520944,0.00035,11.58
043,00034,0.510024,0.00035,11.89
044,00034,0.478049,0.00037,12.41
045,00034,0.489956,0.00042,13.55
046,00034,0.491553,0.00040,13.08
047,00034,0.453246,0.00036,12.13
048,00034,0.455719,0.00038,12.64
049,00034,0.490572,0.00035,12.34
050,00034,0.473469,0.00035,11.20
051,00034,0.439952,0.00033,10.83
052,00034,0.425125,0.00036,11.84
053,00034,0.449581,0.00032,10.68
054,00034,0.433283,0.00031,10.35
055,00034,0.457927,0.00037,13.45
056,00034,0.424542,0.00032,10.76
057,00034,0.429427,0.00034,11.15
058,00034,0.390525,0.00031,10.25
059,00034,0.423257,0.00030,10.35
060,00034,0.422790,0.00028,9.30
061,00034,0.368454,0.00028,9.60
062,00034,0.401827,0.00027,9.01
063,00034,0.359430,0.00028,9.52
064,00034,0.358828,0.00026,9.09
065,00034,0.364619,0.00026,8.85
066,00034,0.386464,0.00026,8.90
067,00034,0.385432,0.00026,8.74
068,00034,0.340918,0.00027,9.02
069,00034,0.308796,0.00027,9.15
070,00034,0.350914,0.00023,7.91
071,00034,0.337634,0.00024,8.35
072,00034,0.304637,0.00023,7.82
073,00034,0.317113,0.00023,7.96
074,00034,0.307826,0.00022,7.77
075,00034,0.286200,0.00024,8.13
076,00034,0.282032,0.00022,7.51
077,00034,0.298983,0.00023,7.52
078,00034,0.286088,0.00020,6.84
079,00034,0.228640,0.00020,6.82
080,00034,0.261834,0.00020,6.60
081,00034,0.236980,0.00019,6.61
082,00034,0.225913,0.00019,6.19
083,00034,0.230760,0.00019,6.13
084,00034,0.196175,0.00017,5.94
085,00034,0.208802,0.00019,6.58
086,00034,0.182341,0.00018,6.13
087,00034,0.186484,0.00017,5.88
088,00034,0.181636,0.00017,5.70
089,00034,0.140131,0.00016,5.17
090,00034,0.141380,0.00016,5.23
091,00034,0.148673,0.00016,5.07
092,00034,0.133257,0.00016,5.11
093,00034,0.116433,0.00015,4.86
094,00034,0.135235,0.00015,4.85
095,00034,0.114419,0.00015,4.87
096,00034,0.109787,0.00015,4.84
097,00034,0.111256,0.00015,4.78
098,00034,0.129236,0.00015,4.68
099,00034,0.121048,0.00015,4.69
100,00034,0.095470,0.00015,4.73
101,00000,0.000000,0.00000,11.07
