epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,2.395517,0.00237,90.00
002,00048,2.327342,0.00232,90.00
003,00048,2.328905,0.00233,90.00
004,00048,2.317760,0.00231,90.00
005,00048,2.324980,0.00231,90.00
006,00048,2.323534,0.00231,90.00
007,00048,2.351047,0.00233,90.00
008,00048,2.336701,0.00233,90.00
009,00048,2.320667,0.00232,90.00
010,00048,2.594017,0.00246,90.00
011,00048,2.345075,0.00253,90.00
012,00048,2.380555,0.00236,90.00
013,00048,2.325786,0.00232,90.00
014,00048,2.318618,0.00231,90.00
015,00048,2.317947,0.00231,90.00
016,00048,2.314938,0.00231,90.00
017,00048,2.308219,0.00234,90.00
018,00048,2.313326,0.00231,90.00
019,00048,2.311008,0.00231,90.00
020,00048,2.310539,0.00231,90.00
021,00048,2.315986,0.00231,90.00
022,00048,2.319675,0.00232,90.00
023,00048,2.313817,0.00231,90.00
024,00048,2.327523,0.00232,90.00
025,00048,2.328637,0.00233,90.00
026,00048,2.390282,0.00241,90.00
027,00048,2.454569,0.00239,90.00
028,00048,2.397890,0.00233,90.00
029,00048,2.388705,0.00240,90.00
030,00048,2.469887,0.00251,90.00
031,00048,2.358279,0.00233,90.00
032,00048,2.340895,0.00235,90.00
033,00048,2.328198,0.00234,90.00
034,00048,2.316326,0.00235,90.00
035,00048,2.316517,0.00231,90.00
036,00048,2.308005,0.00232,90.00
037,00048,2.313650,0.00231,90.00
038,00048,2.304767,0.00231,90.00
039,00048,2.307636,0.00231,90.00
040,00048,2.308488,0.00231,90.00
041,00048,2.307402,0.00231,90.00
042,00048,2.312488,0.00231,90.00
043,00048,2.317041,0.00231,90.00
044,00048,2.317987,0.00232,90.00
045,00048,2.320857,0.00232,90.00
046,00048,2.326634,0.00232,90.00
047,00048,2.323424,0.00233,90.00
048,00048,2.349949,0.00235,90.00
049,00048,2.327820,0.00233,90.00
050,00048,2.350986,0.00235,90.00
051,00048,2.345611,0.00231,90.00
052,00048,2.351098,0.00243,90.00
053,00048,2.354571,0.00232,90.00
054,00048,2.350685,0.00232,90.00
055,00048,2.329936,0.00234,90.00
056,00048,2.329678,0.00231,90.00
057,00048,2.317500,0.00232,90.00
058,00048,2.322881,0.00232,90.00
059,00048,2.331820,0.00231,90.00
060,00048,2.319655,0.00232,90.00
061,00048,2.322466,0.00232,90.00
062,00048,2.315833,0.00234,90.00
063,00048,2.326585,0.00231,90.00
064,00048,2.320682,0.00235,90.00
065,00048,2.315655,0.00234,90.00
066,00048,2.310155,0.00231,90.00
067,00048,2.312769,0.00231,90.00
068,00048,2.325329,0.00231,90.00
069,00048,2.313784,0.00231,90.00
070,00048,2.307552,0.00231,90.00
071,00048,2.319227,0.00231,90.00
072,00048,2.312304,0.00231,90.00
073,00048,2.310631,0.00231,90.00
074,00048,2.308358,0.00232,90.00
075,00048,2.313457,0.00230,90.00
076,00048,2.303715,0.00230,90.00
077,00048,2.315050,0.00231,90.00
078,00048,2.307720,0.00232,90.00
079,00048,2.306992,0.00230,90.00
080,00048,2.311959,0.00231,90.00
081,00048,2.309048,0.00230,90.00
082,00048,2.304743,0.00231,90.00
083,00048,2.306636,0.00231,90.00
084,00048,2.307998,0.00230,90.00
085,00048,2.306804,0.00231,90.00
086,00048,2.305662,0.00230,90.00
087,00048,2.303112,0.00230,90.00
088,00048,2.302902,0.00231,90.00
089,00048,2.303107,0.00230,90.00
090,00048,2.302412,0.00230,90.00
091,00048,2.302939,0.00230,90.00
092,00048,2.302587,0.00230,90.00
093,00048,2.302448,0.00230,90.00
094,00048,2.302859,0.00230,90.00
095,00048,2.302814,0.00230,90.00
096,00048,2.302661,0.00230,90.00
097,00048,2.302708,0.00230,90.00
098,00048,2.302630,0.00230,90.00
099,00048,2.302621,0.00230,90.00
100,00048,2.302596,0.00230,90.00
101,00000,0.000000,0.00000,90.00
