epoch,time(s),train_loss,test_loss,test_error(%)
001,00055,1.940271,0.00174,60.87
002,00051,1.858801,0.00159,55.26
003,00050,1.719410,0.00150,53.72
004,00057,1.672609,0.00144,51.32
005,00052,1.630706,0.00137,48.42
006,00052,1.597663,0.00133,46.82
007,00051,1.516987,0.00130,45.85
008,00053,1.501079,0.00126,44.11
009,00051,1.443008,0.00120,41.93
010,00054,1.443908,0.00119,41.14
011,00054,1.357694,0.00116,40.80
012,00054,1.326065,0.00113,39.79
013,00049,1.338924,0.00108,37.07
014,00050,1.338134,0.00106,35.88
015,00054,1.255373,0.00103,36.13
016,00052,1.174375,0.00097,33.63
017,00053,1.177845,0.00091,31.45
018,00052,1.132390,0.00088,30.74
019,00053,1.114207,0.00086,29.76
020,00051,1.096754,0.00083,28.24
021,00053,1.021759,0.00078,27.45
022,00049,1.056472,0.00083,28.26
023,00049,1.005757,0.00075,25.28
024,00055,0.953210,0.00071,23.94
025,00053,0.981638,0.00077,26.62
026,00053,0.961759,0.00071,23.88
027,00051,0.901047,0.00073,24.64
028,00053,0.879520,0.00066,23.28
029,00052,0.883321,0.00068,22.38
030,00052,0.892280,0.00066,22.40
031,00053,0.858628,0.00065,21.93
032,00053,0.835633,0.00062,21.03
033,00052,0.833902,0.00066,22.52
034,00054,0.822689,0.00061,19.86
035,00053,0.801108,0.00060,20.05
036,00053,0.789071,0.00060,20.05
037,00052,0.803257,0.00061,20.46
038,00053,0.786586,0.00060,20.20
039,00052,0.802436,0.00060,19.91
040,00052,0.772018,0.00060,20.42
041,00053,0.779510,0.00056,19.11
042,00053,0.768822,0.00057,19.39
043,00052,0.766921,0.00055,18.53
044,00052,0.765546,0.00057,19.64
045,00053,0.709173,0.00057,19.63
046,00053,0.719876,0.00056,19.25
047,00052,0.719630,0.00055,18.29
048,00054,0.718410,0.00053,17.22
049,00053,0.718100,0.00056,18.73
050,00053,0.740990,0.00055,18.06
051,00053,0.718970,0.00053,17.50
052,00052,0.743705,0.00055,18.57
053,00052,0.705973,0.00053,17.69
054,00053,0.731413,0.00055,17.91
055,00054,0.717437,0.00051,17.15
056,00055,0.720582,0.00052,17.58
057,00054,0.681381,0.00054,18.55
058,00054,0.687233,0.00053,18.11
059,00054,0.678191,0.00053,18.22
060,00051,0.724742,0.00054,17.24
061,00054,0.676690,0.00051,17.46
062,00053,0.678261,0.00055,18.27
063,00052,0.658542,0.00051,17.16
064,00054,0.697444,0.00053,17.47
065,00053,0.697206,0.00053,17.82
066,00054,0.652589,0.00050,16.50
067,00052,0.642644,0.00050,16.74
068,00051,0.647433,0.00051,16.95
069,00054,0.638520,0.00057,18.86
070,00052,0.691477,0.00053,17.63
071,00054,0.652008,0.00053,17.62
072,00053,0.638447,0.00052,17.63
073,00054,0.612026,0.00049,16.36
074,00050,0.647173,0.00050,16.62
075,00053,0.682664,0.00052,17.55
076,00053,0.617244,0.00049,16.57
077,00053,0.627702,0.00052,17.54
078,00054,0.623563,0.00051,17.12
079,00053,0.580473,0.00050,16.94
080,00054,0.612930,0.00055,18.20
081,00054,0.612633,0.00048,16.16
082,00054,0.574449,0.00051,17.03
083,00051,0.607862,0.00050,16.82
084,00053,0.605621,0.00052,17.70
085,00052,0.592915,0.00051,17.29
086,00053,0.581387,0.00049,16.57
087,00051,0.574169,0.00050,16.71
088,00053,0.594190,0.00053,17.42
089,00053,0.565081,0.00049,16.54
090,00054,0.562712,0.00050,17.36
091,00053,0.548364,0.00051,17.82
092,00052,0.542480,0.00049,16.33
093,00052,0.545311,0.00051,17.14
094,00056,0.524711,0.00048,15.86
095,00053,0.499143,0.00048,16.26
096,00053,0.541883,0.00048,16.24
097,00054,0.518049,0.00048,15.90
098,00054,0.546756,0.00048,15.70
099,00056,0.528703,0.00051,16.93
100,00054,0.531191,0.00048,16.13
101,00000,0.000000,0.00000,21.93
