epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,2.181382,0.00212,80.07
002,00048,2.126530,0.00205,78.05
003,00048,2.059088,0.00196,74.89
004,00048,2.003897,0.00192,73.77
005,00048,1.955039,0.00184,70.51
006,00048,1.915522,0.00175,63.55
007,00048,1.879059,0.00175,63.09
008,00048,1.806115,0.00167,60.11
009,00048,1.771071,0.00161,57.07
010,00048,1.776009,0.00156,55.67
011,00048,1.726628,0.00157,56.40
012,00048,1.709438,0.00148,52.70
013,00048,1.735332,0.00152,53.88
014,00048,1.740268,0.00152,53.70
015,00048,1.693106,0.00145,51.92
016,00048,1.667275,0.00145,52.52
017,00048,1.677261,0.00147,53.88
018,00048,1.672616,0.00147,51.84
019,00048,1.680260,0.00152,54.31
020,00048,1.676879,0.00147,52.14
021,00048,1.640073,0.00142,51.48
022,00048,1.670673,0.00143,50.01
023,00048,1.674083,0.00144,50.35
024,00048,1.624958,0.00141,50.78
025,00048,1.658662,0.00141,50.33
026,00048,1.637206,0.00140,49.45
027,00048,1.626086,0.00143,51.15
028,00048,1.622068,0.00143,50.66
029,00048,1.639799,0.00140,49.73
030,00048,1.614693,0.00138,49.24
031,00048,1.619304,0.00140,49.36
032,00048,1.586632,0.00134,47.11
033,00048,1.595048,0.00134,47.73
034,00048,1.571613,0.00136,48.17
035,00048,1.594681,0.00136,48.26
036,00048,1.578070,0.00134,47.20
037,00048,1.583973,0.00134,47.74
038,00048,1.579045,0.00137,48.03
039,00048,1.584857,0.00132,45.88
040,00048,1.552777,0.00131,46.24
041,00048,1.569248,0.00130,45.92
042,00048,1.572147,0.00132,46.95
043,00048,1.549061,0.00133,45.95
044,00048,1.552997,0.00129,45.44
045,00048,1.513497,0.00136,48.06
046,00048,1.512307,0.00131,45.99
047,00048,1.501889,0.00131,46.16
048,00048,1.544915,0.00128,44.50
049,00048,1.515822,0.00129,45.70
050,00048,1.532144,0.00128,44.70
051,00048,1.527711,0.00128,45.23
052,00048,1.554789,0.00129,44.38
053,00048,1.539522,0.00127,44.14
054,00048,1.522338,0.00125,43.03
055,00048,1.550628,0.00127,43.47
056,00048,1.506367,0.00129,45.11
057,00048,1.521375,0.00127,43.32
058,00048,1.505451,0.00127,43.65
059,00048,1.500779,0.00124,43.12
060,00048,1.496839,0.00126,43.98
061,00048,1.498355,0.00127,44.70
062,00048,1.486681,0.00122,42.34
063,00048,1.477882,0.00122,42.12
064,00048,1.515049,0.00126,44.73
065,00048,1.517459,0.00121,41.96
066,00048,1.473977,0.00121,42.33
067,00048,1.460745,0.00119,41.33
068,00048,1.459447,0.00119,40.78
069,00048,1.440811,0.00120,41.35
070,00048,1.493234,0.00122,41.65
071,00048,1.424888,0.00116,40.24
072,00048,1.445535,0.00119,41.12
073,00048,1.404537,0.00118,40.73
074,00048,1.416542,0.00116,40.16
075,00048,1.436782,0.00120,40.68
076,00048,1.417631,0.00114,39.20
077,00048,1.428404,0.00118,40.87
078,00048,1.398076,0.00117,40.24
079,00048,1.384216,0.00113,38.81
080,00048,1.419528,0.00113,39.52
081,00048,1.425283,0.00114,39.18
082,00048,1.404268,0.00114,39.49
083,00048,1.418168,0.00113,38.80
084,00048,1.372561,0.00111,38.44
085,00048,1.391227,0.00111,37.78
086,00048,1.363165,0.00112,37.87
087,00048,1.359707,0.00111,38.18
088,00048,1.385206,0.00110,37.99
089,00048,1.368349,0.00111,38.49
090,00048,1.364988,0.00111,38.27
091,00048,1.345412,0.00109,37.42
092,00048,1.365744,0.00109,37.18
093,00048,1.340198,0.00109,36.90
094,00048,1.347826,0.00108,36.81
095,00048,1.325828,0.00108,37.00
096,00048,1.343730,0.00108,36.89
097,00048,1.336712,0.00108,36.74
098,00048,1.372547,0.00108,36.70
099,00048,1.342534,0.00108,36.69
100,00048,1.324402,0.00108,36.64
101,00000,0.000000,0.00000,42.00
