epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,1.956456,0.00171,61.12
002,00048,1.808732,0.00154,54.33
003,00048,1.659051,0.00144,50.86
004,00048,1.617470,0.00134,46.79
005,00048,1.503440,0.00128,45.78
006,00048,1.433387,0.00121,42.47
007,00048,1.373536,0.00113,39.45
008,00048,1.345772,0.00106,36.61
009,00048,1.254567,0.00101,35.35
010,00048,1.209052,0.00098,34.10
011,00048,1.140853,0.00093,31.31
012,00048,1.135116,0.00086,29.23
013,00048,1.102288,0.00083,27.43
014,00048,1.034052,0.00084,28.53
015,00048,1.029043,0.00076,25.56
016,00048,1.019377,0.00076,25.07
017,00048,1.011853,0.00077,26.24
018,00048,0.992155,0.00074,24.55
019,00048,0.965412,0.00076,26.07
020,00048,0.941687,0.00072,23.49
021,00048,0.968920,0.00075,25.69
022,00048,0.909210,0.00070,23.86
023,00048,0.906328,0.00067,22.63
024,00048,0.917984,0.00078,26.14
025,00048,0.870513,0.00065,22.47
026,00048,0.844481,0.00067,22.73
027,00048,0.890234,0.00065,21.28
028,00047,0.897814,0.00063,21.51
029,00048,1.012240,0.00087,28.64
030,00047,0.844136,0.00065,21.58
031,00048,0.927967,0.00089,30.52
032,00048,0.840125,0.00061,20.40
033,00048,0.797142,0.00061,20.32
034,00048,0.830225,0.00061,20.66
035,00048,0.809313,0.00058,19.13
036,00048,0.806833,0.00061,20.80
037,00048,0.849794,0.00060,19.53
038,00048,0.829565,0.00059,19.38
039,00048,0.772909,0.00057,18.93
040,00048,0.751744,0.00059,19.50
041,00048,0.792506,0.00059,19.96
042,00048,0.936733,0.00092,31.70
043,00048,0.774925,0.00056,18.68
044,00048,0.734352,0.00056,18.54
045,00048,0.732770,0.00057,18.74
046,00048,0.719650,0.00053,17.95
047,00048,0.722957,0.00056,18.31
048,00048,0.793798,0.00055,17.92
049,00048,0.704281,0.00054,18.23
050,00048,0.745931,0.00055,17.99
051,00048,0.731348,0.00053,17.48
052,00048,0.718074,0.00053,17.69
053,00048,0.729173,0.00054,18.15
054,00047,0.738637,0.00053,17.52
055,00048,0.703610,0.00053,17.57
056,00048,0.693732,0.00052,16.74
057,00048,0.682401,0.00053,17.34
058,00048,0.690778,0.00052,17.56
059,00048,0.786090,0.00059,19.32
060,00047,0.716033,0.00052,17.61
061,00047,0.704567,0.00053,17.76
062,00048,0.658291,0.00048,15.97
063,00048,0.659808,0.00048,15.77
064,00048,0.658253,0.00050,16.83
065,00048,0.655552,0.00048,16.05
066,00048,0.692029,0.00052,17.01
067,00048,0.688981,0.00049,16.46
068,00047,0.681998,0.00050,16.29
069,00048,0.701439,0.00050,15.75
070,00048,0.636032,0.00049,16.34
071,00047,0.641278,0.00049,16.23
072,00048,0.626349,0.00048,16.07
073,00047,0.649121,0.00048,16.14
074,00048,0.639110,0.00045,15.36
075,00048,0.632701,0.00046,15.07
076,00047,0.609957,0.00046,15.20
077,00048,0.634165,0.00048,16.23
078,00048,0.631644,0.00045,14.83
079,00047,0.628155,0.00046,15.22
080,00048,0.632039,0.00046,15.44
081,00048,0.617735,0.00044,14.86
082,00048,0.609744,0.00046,15.59
083,00048,0.595104,0.00046,15.01
084,00048,0.615665,0.00044,14.39
085,00048,0.634221,0.00045,14.72
086,00047,0.716350,0.00134,29.95
087,00048,0.602476,0.00048,15.92
088,00048,0.589556,0.00045,15.01
089,00048,0.599208,0.00045,14.82
090,00048,0.570342,0.00044,14.27
091,00048,0.606586,0.00044,14.71
092,00048,0.588668,0.00044,14.62
093,00048,0.565351,0.00043,14.20
094,00047,0.563955,0.00046,14.93
095,00048,0.577758,0.00043,14.31
096,00047,0.585168,0.00043,14.28
097,00048,0.559597,0.00043,14.02
098,00048,0.533971,0.00041,13.72
099,00048,0.558572,0.00041,13.76
100,00047,0.513016,0.00043,14.73
101,00000,0.000000,0.00000,21.30
