epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,1.483910,0.00116,38.27
002,00051,1.180647,0.00087,27.66
003,00051,1.035117,0.00075,24.41
004,00051,0.991112,0.00069,22.16
005,00053,0.923056,0.00065,21.26
006,00051,0.901185,0.00063,20.80
007,00053,0.860333,0.00061,20.18
008,00051,0.858615,0.00059,19.81
009,00051,0.818599,0.00058,19.34
010,00051,0.845461,0.00061,20.31
011,00052,0.800915,0.00060,19.53
012,00053,0.829678,0.00056,18.37
013,00053,0.799314,0.00059,18.61
014,00053,0.784155,0.00058,19.07
015,00053,0.816531,0.00063,20.91
016,00052,0.800705,0.00058,18.76
017,00052,0.819418,0.00059,19.22
018,00052,0.812658,0.00057,18.97
019,00052,0.785929,0.00056,18.44
020,00052,0.797977,0.00057,18.26
021,00052,0.840361,0.00065,20.76
022,00052,0.783810,0.00056,18.87
023,00052,0.791764,0.00058,19.43
024,00052,0.828184,0.00059,19.57
025,00053,1.285480,0.00095,32.56
026,00052,0.988001,0.00078,26.18
027,00051,0.921098,0.00067,21.90
028,00052,0.877129,0.00062,20.66
029,00053,0.837024,0.00061,19.49
030,00052,0.793444,0.00060,20.21
031,00051,0.822804,0.00062,21.10
032,00051,0.820494,0.00060,20.11
033,00052,0.768530,0.00057,19.05
034,00052,0.795881,0.00058,19.71
035,00052,0.789012,0.00058,19.31
036,00052,0.769922,0.00058,19.59
037,00052,0.744921,0.00055,18.94
038,00051,0.830796,0.00059,19.34
039,00052,0.779042,0.00058,18.95
040,00052,0.732777,0.00056,19.16
041,00052,0.772331,0.00057,19.23
042,00052,0.865776,0.00069,22.98
043,00053,0.741887,0.00054,17.84
044,00051,0.757635,0.00058,19.47
045,00052,0.730223,0.00056,18.68
046,00053,0.709679,0.00052,17.53
047,00053,0.727537,0.00055,18.67
048,00051,0.777683,0.00056,18.86
049,00053,0.698354,0.00055,18.42
050,00052,0.710583,0.00053,18.28
051,00051,0.721266,0.00055,18.50
052,00052,0.696968,0.00051,17.25
053,00053,0.708630,0.00052,17.64
054,00051,0.704228,0.00052,17.03
055,00052,0.677357,0.00055,18.79
056,00052,0.690108,0.00051,16.53
057,00053,0.674078,0.00053,17.71
058,00052,0.681466,0.00053,18.09
059,00052,0.654237,0.00050,16.80
060,00052,0.676082,0.00049,16.69
061,00052,0.656568,0.00049,16.63
062,00051,0.647118,0.00049,16.96
063,00052,0.645678,0.00047,15.59
064,00052,0.642584,0.00048,15.94
065,00053,0.661235,0.00048,16.24
066,00050,0.643849,0.00047,15.79
067,00052,0.661926,0.00048,16.10
068,00052,0.646610,0.00048,15.72
069,00052,0.659860,0.00049,16.19
070,00052,0.646324,0.00047,15.88
071,00051,0.606603,0.00048,16.05
072,00051,0.605115,0.00051,17.26
073,00053,0.644445,0.00049,16.44
074,00052,0.625445,0.00047,15.82
075,00053,0.622729,0.00046,15.72
076,00052,0.606876,0.00049,16.56
077,00052,0.605597,0.00046,15.74
078,00052,0.590075,0.00045,15.34
079,00052,0.630540,0.00046,15.69
080,00054,0.606843,0.00046,15.79
081,00052,0.595816,0.00045,15.04
082,00052,0.593050,0.00044,14.64
083,00053,0.568414,0.00044,15.05
084,00053,0.587189,0.00044,14.73
085,00052,0.610323,0.00043,14.45
086,00052,0.590791,0.00043,14.16
087,00051,0.568073,0.00044,14.53
088,00052,0.587112,0.00044,14.68
089,00050,0.559101,0.00044,14.69
090,00052,0.545921,0.00041,14.09
091,00052,0.583101,0.00043,14.47
092,00051,0.545943,0.00044,14.97
093,00051,0.529968,0.00044,14.86
094,00053,0.526535,0.00043,14.38
095,00052,0.547361,0.00041,13.73
096,00054,0.570899,0.00042,14.18
097,00053,0.531692,0.00042,14.26
098,00053,0.486722,0.00044,14.75
099,00052,0.531990,0.00042,14.21
100,00052,0.518380,0.00042,14.03
101,00000,0.000000,0.00000,20.06
