epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,2.229688,0.00207,76.84
002,00048,1.875978,0.00174,63.15
003,00048,1.733189,0.00155,56.22
004,00048,1.634644,0.00148,50.58
005,00048,1.591666,0.00139,50.07
006,00048,1.475949,0.00126,44.09
007,00048,1.414204,0.00122,42.88
008,00048,1.356478,0.00111,38.58
009,00048,1.290994,0.00105,36.37
010,00048,1.232475,0.00098,33.51
011,00048,1.216618,0.00099,34.02
012,00048,1.205344,0.00099,33.56
013,00048,1.188460,0.00098,33.10
014,00048,1.130564,0.00089,29.54
015,00048,1.103106,0.00085,28.48
016,00048,1.085820,0.00087,29.49
017,00048,1.076663,0.00100,33.86
018,00048,1.112475,0.00082,27.31
019,00048,1.051841,0.00082,27.06
020,00048,1.074897,0.00082,27.05
021,00048,1.049447,0.00079,26.21
022,00048,1.014248,0.00082,27.85
023,00048,1.015411,0.00079,25.91
024,00048,1.019360,0.00085,28.44
025,00048,0.990458,0.00078,26.23
026,00048,1.000797,0.00085,28.95
027,00048,1.022140,0.00078,25.79
028,00048,1.010486,0.00075,25.12
029,00048,0.997857,0.00073,23.93
030,00048,0.950763,0.00073,24.75
031,00048,0.985257,0.00078,26.56
032,00048,0.969765,0.00073,24.11
033,00048,0.954586,0.00072,23.52
034,00048,0.969518,0.00080,27.29
035,00048,0.922278,0.00071,23.46
036,00048,0.965108,0.00080,28.05
037,00048,0.936518,0.00073,23.78
038,00048,0.969615,0.00072,22.88
039,00048,0.917026,0.00071,23.82
040,00048,0.903883,0.00072,23.79
041,00048,0.930404,0.00073,24.39
042,00048,0.881077,0.00073,24.54
043,00048,0.926993,0.00073,24.36
044,00048,0.881015,0.00069,22.87
045,00048,0.870059,0.00068,22.07
046,00048,0.860270,0.00065,21.14
047,00048,0.887100,0.00067,22.15
048,00048,0.923615,0.00070,23.70
049,00048,0.847100,0.00064,21.37
050,00048,0.849055,0.00065,21.42
051,00048,0.856979,0.00065,21.66
052,00048,0.844912,0.00066,21.25
053,00048,0.832641,0.00067,23.06
054,00048,0.862108,0.00064,21.06
055,00048,0.829406,0.00061,20.29
056,00048,0.825787,0.00062,20.33
057,00048,0.814983,0.00059,19.25
058,00048,0.797268,0.00060,19.90
059,00048,0.751079,0.00061,20.31
060,00048,0.791157,0.00058,19.58
061,00048,0.793420,0.00058,19.18
062,00048,0.756545,0.00056,18.48
063,00048,0.739994,0.00056,17.96
064,00048,0.755216,0.00056,18.32
065,00048,0.782487,0.00056,18.88
066,00048,0.762687,0.00054,17.76
067,00048,0.725409,0.00052,16.97
068,00048,0.760586,0.00053,17.31
069,00048,0.732129,0.00052,16.95
070,00048,0.686364,0.00051,16.77
071,00048,0.689580,0.00052,17.26
072,00048,0.685258,0.00052,17.46
073,00048,0.693199,0.00050,16.25
074,00048,0.689515,0.00050,16.73
075,00048,0.684856,0.00049,15.97
076,00048,0.639280,0.00049,15.81
077,00048,0.665212,0.00049,16.51
078,00048,0.645553,0.00047,15.00
079,00048,0.632174,0.00047,15.08
080,00048,0.626521,0.00046,15.39
081,00048,0.599798,0.00046,15.38
082,00048,0.614362,0.00044,14.62
083,00048,0.569416,0.00044,14.57
084,00048,0.594152,0.00043,13.91
085,00048,0.597184,0.00042,14.14
086,00048,0.564277,0.00041,13.66
087,00048,0.547650,0.00041,13.55
088,00048,0.549648,0.00040,13.41
089,00048,0.536114,0.00040,13.27
090,00048,0.500214,0.00039,13.23
091,00048,0.514596,0.00039,13.01
092,00048,0.484471,0.00039,12.84
093,00048,0.476678,0.00038,13.08
094,00048,0.478856,0.00038,12.69
095,00048,0.466538,0.00038,12.74
096,00048,0.482289,0.00038,12.66
097,00048,0.489285,0.00037,12.67
098,00048,0.455742,0.00037,12.56
099,00048,0.477384,0.00037,12.62
100,00048,0.461160,0.00037,12.62
101,00000,0.000000,0.00000,18.26
